creator_EOA,contract address,num_addresses
0x1A496DA5e27F8f3B06d23aa09dd1d7f33dF8040a,"['0xf86d1Ee0eA04E1213F108230771CAa446f3bbe5B', '0xF243c48d71419aCEFa9b0bBBbad0f3B27bf24D21']",2
0x1b059118A30A335C5E2B0F560a26898115E77684,"['0x0Cf819BFF5fC76A6aaAC619327643521b490126B', '0x28C9FDd40141b06EbC1A96D338bF963979c919d7', '0xd543DB348aEAa8d1ee2A248506fbd804653B162e', '0x97D830aEdE86e33D9BedB5710AeF60309e8C8B9C', '0x3e5cb6C77735934C4579849420C9B2A8976F6C5C', '0x523107BC3222817bBe3E3b060Ba38C9Eb19E8968']",6
0x20395D8e8a11CFD2541b942aFdb810b7dcc64681,"['0x07e536F23a197F6FB76F42aD01ac2Bcdc3BF738E', '0x61E0235E452EFfCd991874861b6fc28091dA9DF8', '0x22fBCe9EDE259aDDB79EAED8e94148c063637750']",3
0x23762995608eAD76d2a9949189aAa13b3c44611E,"['0x9AC0eD77aE7F2e187808bD25f0Ec2fabB6e3a0e7', '0x8F8e315A99ec5A601cC98dBE4eaF22B36d453B0E', '0xd68C19d275b003089E07Cc2a7F3F037c94F4af99']",3
0x27D8dfC26261b7B7732d1be9B3770f1f53fDd490,"['0x9375F77A0F50AbD29860D906ff3766B2D33C0721', '0xF13c852F9F9BEF6d53490457b492E86bC0aD9136']",2
0x2E713D48f969172984e7D470e46366bB99D798E5,"['0xBFB8d0d681BBe8452FdeB28808D2135f2af58a0F', '0x5E9D146e986754634b462ac71f5dcb89bD5553Ac', '0xF8AaCE4Db3e1Df6a940E4B1f75055f01Fd1a57D8', '0xf08e535E2ac0520ee1F0e4135179bEFE15d0b5C2', '0xA4c85EA29f595DA5CE2C97e2Bc61FEc87A3D6875', '0x956CF2F50C24880bd44d5bB128B93184648be7ef']",6
0x3222220e49C8365149C3aC65854864668be7ecF8,"['0xbdC3672C0a87B538b7C64F9360bE94799bE3f65A', '0xcf3bfc04C958eCA263E3F3eF46024a49ada741Ba']",2
0x374783BC2b5436D1517644261DB33d976ED4795D,"['0xd7D05C91a7ebF4c0fc7bf223a3219F0623E3AEcC', '0x362031572fE09262B1b00c2a7287229A305Ea8B3', '0x2ac03375C7a3A3A58aA0A80ca82f3F777015C828', '0x6E671f9D9fFA39F089C0a0FD3be3240E301A9c8B', '0x2D56a22E6cbb470F304E3904D6a2F835219cF401']",5
0x499057D1AE21F2AFE0b46C154f9529201C44c6C1,"['0xaECde6D645f7434347d375782a2F19e8D701ba80', '0x8aa4D831582C3545A02894aBBAB8450C9c545d85', '0x1bA98f52C6FdB0d23b3994121BEb2cbE89d6b295', '0x1C9c1e8BC919b2EA92AfdAd118955bfa686Fb94b', '0xe1e2C21E01cBA093631A27b136C51CA016ebF33F']",5
0x52e38D496F8D712394D5ED55E4d4Cdd21f1957De,"['0x25026267a9ae68f4E86AcD83d54Bd0e1593C0A75', '0x11BFd986299bb0D5666536E361f312198e882642']",2
